1, Tum Hi Ho, Hit Videos, 267
2, Tum Hi Ho, Hit Videos, 267
3, Tu hai kahan, AUR, 263
4, Machayenge 4, KR$NA  , 402
5, Prarthana, KR$NA   & Bharg, 205
6, Lil Bunty, KR$NA  , 193
7, Lil Bunty, KR$NA  , 193
8, Prarthana, KR$NA   & Bharg, 205
9, Paani Paani - Lofi, Badshah & Aastha Gill, 192
10, Daaku, Badshah & Sharvi Yadav, 168
11, Joota Japani, KR$NA  , Mukesh, & Shankar Jaikishan, 160
12, Dooriyaan | KALAM INK x Aniket Raturi | Prod. by Aniket Raturi (Official Music Video), Team Evolution India, 235
13, Daaku, Badshah & Sharvi Yadav, 168
14, Firse Machayenge, Emiway Bantai, 243
